----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:18:15][Step 1] Loss: 2.24 | Was correct: False
[16:18:16][Step 2] Loss: 2.30 | Was correct: False
[16:18:17][Step 3] Loss: 2.31 | Was correct: False
[16:18:19][Step 4] Loss: 2.34 | Was correct: False
[16:18:20][Step 5] Loss: 2.24 | Was correct: False
[16:18:22][Step 6] Loss: 2.33 | Was correct: False
[16:18:23][Step 7] Loss: 2.43 | Was correct: False
[16:18:25][Step 8] Loss: 2.36 | Was correct: False
[16:18:26][Step 9] Loss: 2.35 | Was correct: False
[16:18:28][Step 10] Loss: 2.30 | Was correct: False
[16:18:30][Step 11] Loss: 2.34 | Was correct: False
[16:18:31][Step 12] Loss: 2.30 | Was correct: False
[16:18:33][Step 13] Loss: 2.29 | Was correct: False
[16:18:34][Step 14] Loss: 2.20 | Was correct: False
[16:18:36][Step 15] Loss: 2.23 | Was correct: False
[16:18:37][Step 16] Loss: 2.35 | Was correct: False
[16:18:39][Step 17] Loss: 2.36 | Was correct: False
[16:18:40][Step 18] Loss: 2.28 | Was correct: False
[16:18:42][Step 19] Loss: 2.24 | Was correct: False
[16:18:43][Step 20] Loss: 2.43 | Was correct: False
[16:18:45][Step 21] Loss: 2.33 | Was correct: False
[16:18:46][Step 22] Loss: 2.24 | Was correct: True
[16:18:48][Step 23] Loss: 2.35 | Was correct: False
[16:18:49][Step 24] Loss: 2.17 | Was correct: True
[16:18:51][Step 25] Loss: 2.30 | Was correct: False
[16:18:53][Step 26] Loss: 2.35 | Was correct: False
[16:18:54][Step 27] Loss: 2.36 | Was correct: False
[16:18:56][Step 28] Loss: 2.27 | Was correct: False
[16:18:57][Step 29] Loss: 2.15 | Was correct: True
[16:18:59][Step 30] Loss: 2.33 | Was correct: False
[16:19:00][Step 31] Loss: 2.40 | Was correct: False
[16:19:02][Step 32] Loss: 2.15 | Was correct: True
[16:19:03][Step 33] Loss: 2.38 | Was correct: False
[16:19:05][Step 34] Loss: 2.40 | Was correct: False
[16:19:06][Step 35] Loss: 2.37 | Was correct: False
[16:19:08][Step 36] Loss: 2.32 | Was correct: False
[16:19:09][Step 37] Loss: 2.26 | Was correct: False
[16:19:11][Step 38] Loss: 2.29 | Was correct: False
[16:19:13][Step 39] Loss: 2.29 | Was correct: False
[16:19:14][Step 40] Loss: 2.14 | Was correct: True
[16:19:16][Step 41] Loss: 2.24 | Was correct: False
[16:19:17][Step 42] Loss: 2.37 | Was correct: False
[16:19:19][Step 43] Loss: 2.37 | Was correct: False
[16:19:20][Step 44] Loss: 2.34 | Was correct: False
[16:19:22][Step 45] Loss: 2.37 | Was correct: False
[16:19:23][Step 46] Loss: 2.41 | Was correct: False
[16:19:25][Step 47] Loss: 2.35 | Was correct: False
[16:19:26][Step 48] Loss: 2.30 | Was correct: False
[16:19:28][Step 49] Loss: 2.24 | Was correct: False
[16:19:29][Step 50] Loss: 2.41 | Was correct: False
[16:19:31][Step 51] Loss: 2.38 | Was correct: False
[16:19:32][Step 52] Loss: 2.02 | Was correct: True
[16:19:34][Step 53] Loss: 2.30 | Was correct: False
[16:19:35][Step 54] Loss: 2.21 | Was correct: False
[16:19:37][Step 55] Loss: 2.12 | Was correct: True
[16:19:39][Step 56] Loss: 2.34 | Was correct: False
[16:19:40][Step 57] Loss: 2.19 | Was correct: False
[16:19:42][Step 58] Loss: 2.30 | Was correct: False
[16:19:43][Step 59] Loss: 2.43 | Was correct: False
[16:19:45][Step 60] Loss: 2.05 | Was correct: True
[16:19:46][Step 61] Loss: 2.30 | Was correct: False
[16:19:48][Step 62] Loss: 2.35 | Was correct: False
[16:19:49][Step 63] Loss: 2.39 | Was correct: False
[16:19:51][Step 64] Loss: 2.04 | Was correct: True
[16:19:52][Step 65] Loss: 2.35 | Was correct: False
[16:19:54][Step 66] Loss: 2.40 | Was correct: False
[16:19:55][Step 67] Loss: 2.33 | Was correct: False
[16:19:57][Step 68] Loss: 2.20 | Was correct: False
[16:19:58][Step 69] Loss: 2.30 | Was correct: False
[16:20:00][Step 70] Loss: 2.31 | Was correct: False
[16:20:02][Step 71] Loss: 2.02 | Was correct: True
[16:20:03][Step 72] Loss: 2.29 | Was correct: False
[16:20:05][Step 73] Loss: 2.28 | Was correct: False
[16:20:06][Step 74] Loss: 2.25 | Was correct: False
[16:20:08][Step 75] Loss: 2.22 | Was correct: False
[16:20:09][Step 76] Loss: 2.31 | Was correct: False
[16:20:11][Step 77] Loss: 2.12 | Was correct: True
[16:20:12][Step 78] Loss: 2.36 | Was correct: False
[16:20:14][Step 79] Loss: 2.30 | Was correct: False
[16:20:15][Step 80] Loss: 2.51 | Was correct: False
[16:20:17][Step 81] Loss: 2.39 | Was correct: False
[16:20:18][Step 82] Loss: 2.49 | Was correct: False
[16:20:20][Step 83] Loss: 2.02 | Was correct: True
[16:20:21][Step 84] Loss: 2.46 | Was correct: False
[16:20:23][Step 85] Loss: 2.44 | Was correct: False
[16:20:24][Step 86] Loss: 2.44 | Was correct: False
[16:20:26][Step 87] Loss: 2.31 | Was correct: False
[16:20:27][Step 88] Loss: 2.08 | Was correct: True
[16:20:29][Step 89] Loss: 2.26 | Was correct: False
[16:20:31][Step 90] Loss: 2.33 | Was correct: False
[16:20:32][Step 91] Loss: 2.36 | Was correct: False
[16:20:34][Step 92] Loss: 2.50 | Was correct: False
[16:20:35][Step 93] Loss: 2.30 | Was correct: False
[16:20:37][Step 94] Loss: 1.90 | Was correct: True
[16:20:38][Step 95] Loss: 2.29 | Was correct: False
[16:20:40][Step 96] Loss: 2.40 | Was correct: False
[16:20:41][Step 97] Loss: 2.31 | Was correct: False
[16:20:43][Step 98] Loss: 2.38 | Was correct: False
[16:20:44][Step 99] Loss: 2.46 | Was correct: False
[16:20:46][Step 100] Loss: 2.33 | Was correct: False
[16:20:48][Step 101] Loss: 2.36 | Was correct: False
[16:20:49][Step 102] Loss: 2.40 | Was correct: False
[16:20:51][Step 103] Loss: 2.28 | Was correct: False
[16:20:52][Step 104] Loss: 2.38 | Was correct: False
[16:20:54][Step 105] Loss: 2.24 | Was correct: False
[16:20:55][Step 106] Loss: 2.29 | Was correct: False
[16:20:57][Step 107] Loss: 2.23 | Was correct: False
[16:20:58][Step 108] Loss: 2.37 | Was correct: False
