----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model medium -----
----- Epoch 1 -----
[16:18:14][Step 1] Loss: 2.24 | Was correct: False
[16:18:15][Step 2] Loss: 2.33 | Was correct: False
[16:18:16][Step 3] Loss: 2.17 | Was correct: True
[16:18:17][Step 4] Loss: 2.32 | Was correct: False
[16:18:19][Step 5] Loss: 2.35 | Was correct: False
[16:18:20][Step 6] Loss: 2.35 | Was correct: False
[16:18:21][Step 7] Loss: 2.32 | Was correct: False
[16:18:22][Step 8] Loss: 2.21 | Was correct: True
[16:18:23][Step 9] Loss: 2.31 | Was correct: False
[16:18:24][Step 10] Loss: 2.22 | Was correct: False
[16:18:25][Step 11] Loss: 2.33 | Was correct: False
[16:18:26][Step 12] Loss: 2.27 | Was correct: False
[16:18:27][Step 13] Loss: 2.33 | Was correct: False
[16:18:28][Step 14] Loss: 2.20 | Was correct: False
[16:18:30][Step 15] Loss: 2.31 | Was correct: False
[16:18:31][Step 16] Loss: 2.16 | Was correct: True
[16:18:32][Step 17] Loss: 2.36 | Was correct: False
[16:18:33][Step 18] Loss: 2.38 | Was correct: False
[16:18:34][Step 19] Loss: 2.12 | Was correct: True
[16:18:35][Step 20] Loss: 2.27 | Was correct: False
[16:18:36][Step 21] Loss: 2.15 | Was correct: False
[16:18:37][Step 22] Loss: 2.22 | Was correct: False
[16:18:38][Step 23] Loss: 2.39 | Was correct: False
[16:18:39][Step 24] Loss: 2.14 | Was correct: False
[16:18:41][Step 25] Loss: 2.32 | Was correct: False
[16:18:42][Step 26] Loss: 2.54 | Was correct: False
[16:18:43][Step 27] Loss: 2.18 | Was correct: True
[16:18:44][Step 28] Loss: 2.35 | Was correct: False
[16:18:45][Step 29] Loss: 2.39 | Was correct: False
[16:18:46][Step 30] Loss: 2.34 | Was correct: False
[16:18:47][Step 31] Loss: 2.31 | Was correct: False
