----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model very_small -----
----- Epoch 1 -----
[16:18:13][Step 1] Loss: 2.29 | Was correct: False
[16:18:14][Step 2] Loss: 2.33 | Was correct: False
[16:18:14][Step 3] Loss: 2.38 | Was correct: False
[16:18:14][Step 4] Loss: 1.94 | Was correct: True
[16:18:14][Step 5] Loss: 2.56 | Was correct: False
[16:18:15][Step 6] Loss: 2.52 | Was correct: False
[16:18:15][Step 7] Loss: 2.19 | Was correct: False
[16:18:15][Step 8] Loss: 2.80 | Was correct: False
[16:18:15][Step 9] Loss: 2.51 | Was correct: False
[16:18:16][Step 10] Loss: 2.05 | Was correct: False
[16:18:16][Step 11] Loss: 2.18 | Was correct: False
[16:18:16][Step 12] Loss: 2.96 | Was correct: False
[16:18:16][Step 13] Loss: 1.87 | Was correct: True
[16:18:17][Step 14] Loss: 2.01 | Was correct: False
[16:18:17][Step 15] Loss: 2.17 | Was correct: False
[16:18:17][Step 16] Loss: 2.93 | Was correct: False
[16:18:17][Step 17] Loss: 2.42 | Was correct: False
[16:18:18][Step 18] Loss: 1.58 | Was correct: True
[16:18:18][Step 19] Loss: 2.36 | Was correct: False
[16:18:18][Step 20] Loss: 3.14 | Was correct: False
[16:18:18][Step 21] Loss: 2.66 | Was correct: False
[16:18:18][Step 22] Loss: 2.66 | Was correct: False
[16:18:19][Step 23] Loss: 2.96 | Was correct: False
[16:18:19][Step 24] Loss: 2.15 | Was correct: False
[16:18:19][Step 25] Loss: 2.11 | Was correct: False
[16:18:19][Step 26] Loss: 2.33 | Was correct: False
[16:18:20][Step 27] Loss: 2.63 | Was correct: False
[16:18:20][Step 28] Loss: 2.69 | Was correct: False
[16:18:20][Step 29] Loss: 2.04 | Was correct: False
[16:18:20][Step 30] Loss: 2.02 | Was correct: False
[16:18:21][Step 31] Loss: 2.39 | Was correct: False
[16:18:21][Step 32] Loss: 1.88 | Was correct: False
[16:18:21][Step 33] Loss: 3.02 | Was correct: False
[16:18:21][Step 34] Loss: 2.13 | Was correct: False
[16:18:22][Step 35] Loss: 2.87 | Was correct: False
[16:18:22][Step 36] Loss: 2.48 | Was correct: False
[16:18:22][Step 37] Loss: 2.82 | Was correct: False
[16:18:22][Step 38] Loss: 2.59 | Was correct: False
[16:18:23][Step 39] Loss: 2.06 | Was correct: True
[16:18:23][Step 40] Loss: 2.87 | Was correct: False
[16:18:23][Step 41] Loss: 3.36 | Was correct: False
[16:18:23][Step 42] Loss: 2.27 | Was correct: False
[16:18:24][Step 43] Loss: 2.48 | Was correct: False
[16:18:24][Step 44] Loss: 2.26 | Was correct: False
[16:18:24][Step 45] Loss: 2.07 | Was correct: False
[16:18:24][Step 46] Loss: 2.41 | Was correct: False
[16:18:25][Step 47] Loss: 2.60 | Was correct: False
[16:18:25][Step 48] Loss: 2.55 | Was correct: False
[16:18:25][Step 49] Loss: 2.37 | Was correct: False
[16:18:25][Step 50] Loss: 2.20 | Was correct: False
[16:18:26][Step 51] Loss: 2.07 | Was correct: False
[16:18:26][Step 52] Loss: 2.39 | Was correct: False
[16:18:26][Step 53] Loss: 2.68 | Was correct: False
[16:18:26][Step 54] Loss: 2.25 | Was correct: False
[16:18:27][Step 55] Loss: 2.02 | Was correct: False
[16:18:27][Step 56] Loss: 2.14 | Was correct: False
[16:18:27][Step 57] Loss: 2.90 | Was correct: False
[16:18:28][Step 58] Loss: 2.61 | Was correct: False
[16:18:28][Step 59] Loss: 2.19 | Was correct: False
[16:18:28][Step 60] Loss: 2.01 | Was correct: False
[16:18:28][Step 61] Loss: 2.12 | Was correct: False
[16:18:29][Step 62] Loss: 2.47 | Was correct: False
[16:18:29][Step 63] Loss: 2.49 | Was correct: False
[16:18:29][Step 64] Loss: 1.99 | Was correct: False
[16:18:29][Step 65] Loss: 1.74 | Was correct: True
[16:18:29][Step 66] Loss: 1.62 | Was correct: True
[16:18:30][Step 67] Loss: 2.20 | Was correct: False
[16:18:30][Step 68] Loss: 2.43 | Was correct: False
